loss,acc
5.3844,30.557
2.7236,36.570
2.2114,44.422
1.9011,40.901
1.7162,50.632
1.5799,53.144
1.5006,54.094
1.4009,55.775
1.3153,58.178
1.2361,59.147
1.1721,60.621
1.1337,60.532
1.0620,61.926
1.0292,62.094
0.9864,64.299
0.9332,63.568
0.8936,65.644
0.8405,65.644
0.8041,66.890
0.7646,67.217
0.7394,68.107
0.7053,67.484
0.6841,67.810
0.6429,68.285
0.6173,67.711
0.5865,67.889
0.5810,69.026
0.5384,68.354
0.5198,69.106
0.4910,69.432
0.4844,69.827
0.4535,69.234
0.4476,70.203
0.4239,70.530
0.4014,70.361
0.3899,70.352
0.3807,69.719
0.3681,70.272
0.3683,70.085
0.3500,70.065
0.3346,70.816
0.3255,71.410
0.3070,69.996
0.3023,70.915
0.2992,70.935
0.2827,71.271
0.2795,71.865
0.2699,71.964
0.2607,71.884
0.2585,71.192
0.2489,71.261
0.2438,72.092
0.2502,72.636
0.2383,71.964
0.2411,72.676
0.2249,72.250
0.2243,71.064
0.2131,71.776
0.2074,72.142
0.2112,71.954
0.2024,72.616
0.1989,71.845
0.2050,72.369
0.2005,72.498
0.1909,71.647
0.1864,72.557
0.1857,72.349
0.1734,72.873
0.1787,72.774
0.1713,72.616
0.1694,72.023
0.1663,72.349
0.1707,72.735
0.1686,73.012
0.1695,72.962
0.1594,73.526
0.1563,73.546
0.1496,73.397
0.1525,73.299
0.1481,72.468
0.1492,72.478
0.1443,72.685
0.1495,72.992
0.1494,72.537
0.1436,72.992
0.1387,73.348
0.1353,73.516
0.1406,72.943
0.1366,73.605
0.1311,73.645
0.1394,73.111
0.1305,73.130
0.1368,73.556
0.1299,72.151
0.1276,73.486
0.1230,73.170
0.1226,73.091
0.1168,73.447
0.1200,72.972
0.1176,73.229
