loss,acc
2.5236,38.696
2.1170,38.676
2.0249,39.626
2.0501,31.962
1.9435,41.030
1.8203,42.672
1.6688,46.519
1.6155,48.704
1.5369,52.076
1.4748,51.740
1.4387,55.162
1.3656,55.716
1.3050,56.892
1.2882,57.664
1.2562,58.870
1.1823,58.969
1.2271,54.549
1.1836,60.373
1.1188,60.680
1.0614,61.689
1.0180,63.231
0.9676,62.915
0.9547,62.974
0.9318,62.737
0.8977,64.379
0.8637,64.290
0.8268,64.547
0.7942,65.852
0.7595,67.108
0.7360,65.575
0.7101,66.742
0.6874,66.416
0.6599,66.791
0.6285,66.732
0.6598,66.673
0.6279,67.296
0.6173,67.958
0.5655,66.495
0.5393,67.395
0.5277,66.811
0.5055,68.512
0.4853,68.295
0.4676,69.046
0.4471,68.186
0.4331,68.947
0.4241,68.235
0.4046,69.175
0.3975,68.868
0.3849,68.750
0.3701,69.026
0.3490,69.758
0.3389,70.144
0.3292,68.522
0.3343,69.956
0.3125,69.916
0.3096,70.085
0.2992,69.471
0.2876,70.154
0.2782,70.134
0.2721,70.836
0.2695,69.007
0.2660,69.729
0.2531,69.966
0.2477,70.668
0.2619,70.203
0.2393,70.816
0.2320,70.124
0.2636,69.580
0.2546,70.500
0.2232,71.222
0.2236,71.321
0.2097,71.528
0.2106,71.172
0.2084,70.648
0.2053,71.064
0.2043,71.163
0.1882,71.598
0.1873,71.657
0.1829,70.451
0.1896,71.509
0.1873,71.449
0.1728,71.786
0.1717,72.221
0.1721,71.291
0.1667,71.608
0.1639,71.647
0.1636,70.975
0.1628,71.687
0.1596,71.271
0.1542,72.043
0.1539,71.904
0.1489,71.064
0.1515,71.786
0.1482,72.369
0.1428,72.161
0.1380,71.884
0.1390,72.033
0.1399,71.430
0.1362,72.053
0.1376,71.667
